x,y
-10.0,-695.0657169397754
-9.797979797979798,-669.8691117513694
-9.595959595959595,-617.6167595590521
-9.393939393939394,-564.9147820075492
-9.191919191919192,-566.1767050226925
-8.98989898989899,-533.5833099939467
-8.787878787878787,-465.98718816212295
-8.585858585858587,-452.13282915343973
-8.383838383838384,-447.9955617226917
-8.181818181818182,-400.0691597593851
-7.979797979797979,-393.6680028304313
-7.777777777777778,-368.3337994609799
-7.575757575757576,-329.9150468023104
-7.373737373737374,-349.845782755856
-7.171717171717171,-323.97048328339116
-6.96969696969697,-279.6511544860912
-6.767676767676768,-268.61189743016064
-6.565656565656566,-223.01205870417547
-6.363636363636363,-229.36634176587125
-6.161616161616162,-222.30317910462512
-5.959595959595959,-148.51302980141554
-5.757575757575758,-167.0033519273087
-5.555555555555555,-146.6672685537038
-5.353535353535354,-162.88625445011758
-5.151515151515151,-132.471119999589
-4.94949494949495,-107.35117055932464
-4.747474747474747,-121.34489816395322
-4.545454545454546,-80.31098328447652
-4.343434343434343,-90.05741261589523
-4.141414141414142,-74.79325246610927
-3.9393939393939394,-72.5785572105005
-3.737373737373738,-15.729482970695905
-3.5353535353535355,-45.896452406237515
-3.333333333333333,-60.22829265319208
-3.1313131313131315,-16.64211226294551
-2.929292929292929,-52.07545556005381
-2.7272727272727275,-18.568783697200164
-2.525252525252525,-57.52409744893939
-2.3232323232323235,-40.95148701709677
-2.121212121212121,-6.955309439614496
-1.9191919191919187,6.949066918608947
-1.717171717171718,-1.7188573445845727
-1.5151515151515156,-5.158640022364809
-1.3131313131313131,-6.915958168082031
-1.1111111111111107,-28.83655777717022
-0.9090909090909101,-12.334525039419347
-0.7070707070707076,-6.096493736951414
-0.5050505050505052,25.062828859516245
-0.30303030303030276,11.371767522175919
-0.10101010101010033,-30.382734594352986
0.10101010101010033,11.562798712969922
0.30303030303030276,-2.5683567973515693
0.5050505050505052,-8.479128391864187
0.7070707070707076,17.117448155383137
0.9090909090909083,25.25184619747725
1.1111111111111107,22.953448747207375
1.3131313131313131,-12.787721590260382
1.5151515151515156,-2.5213095978880258
1.7171717171717162,9.976776771437397
1.9191919191919187,22.597976732980207
2.121212121212121,-6.689114052617739
2.3232323232323235,-0.9150472049940301
2.525252525252524,-19.303605773953702
2.7272727272727266,-20.930143000020628
2.929292929292929,19.586070746095128
3.1313131313131315,30.99732337108955
3.333333333333334,3.1894271980229547
3.5353535353535346,25.70226738957234
3.737373737373737,14.135917350583567
3.9393939393939394,-4.433268565124717
4.141414141414142,17.582045217591876
4.3434343434343425,43.3436825639388
4.545454545454545,14.463794770017346
4.747474747474747,49.463833820145624
4.94949494949495,-30.81528074857698
5.1515151515151505,41.8690821714291
5.353535353535353,31.49086896440022
5.555555555555555,28.580895514688123
5.757575757575758,41.7243270313918
5.9595959595959584,6.007490881298786
6.161616161616163,47.80161242881116
6.363636363636363,66.36464061130178
6.565656565656564,96.42350169831455
6.767676767676768,64.78407533099175
6.969696969696969,67.92882844579539
7.171717171717173,83.70287699702816
7.373737373737374,122.40020878933618
7.575757575757574,121.76090304023148
7.777777777777779,116.44869167225872
7.979797979797979,149.95629444289762
8.18181818181818,155.09331657674278
8.383838383838384,186.82398962936315
8.585858585858585,168.5725912335042
8.787878787878789,192.11094717851577
8.98989898989899,207.78527239797262
9.19191919191919,204.25782484249385
9.393939393939394,258.31339532897556
9.595959595959595,277.4618734955074
9.7979797979798,293.2044623743141
10.0,310.3082573324971
